f	(J)	42325	44361
f	r	44362	46256
f	U~	46257	49950
f	ts	49951	51795
f	x	51796	53473
f	t(S)	53474	54675
f	k	54676	55949
f	r=	55950	57060
f	(L)	57061	58885
f	U	58886	60252
f	s	60253	61454
f	I	61455	63146
-----------------------------
g	U_^O	0	2695
g	h-	2696	3887
g	O	3888	5315
g	v	5316	6379
g	m	6380	7568
g	a	7569	9230
g	U	9231	11497
g	E	11498	13783
g	a~	13784	16509
g	b	16510	18236
g	l	18237	19460
g	U~	19461	22029
g	I~	22030	24587
g	J-	24588	27030
g	I	27031	28586
g	(Z)	28587	30371
g	l=	30372	32721
g	_	32722	34509
g	(J)	34510	37054
g	(L)	37055	38062
g	O~	38063	40619
g	E~	40620	43094
g	r	43095	44456
g	I_^E	44457	46376
g	r=	46377	48220
-----------------------------
h-	b	0	2411
h-	E	2412	3588
h-	v	3589	5234
h-	(L)	5235	6911
h-	n	6912	7969
h-	a	7970	9494
h-	I_^a	9495	13084
h-	r=	13085	14498
h-	l=~	14499	16907
h-	l=	16908	18936
h-	a~	18937	21317
h-	m	21318	22962
h-	j	22963	25468
h-	z	25469	27534
h-	r=~	27535	30764
h-	(J)	30765	33081
h-	I_^E	33082	35607
h-	r	35608	37289
h-	U~	37290	39427
h-	U	39428	41063
h-	E~	41064	43097
h-	I~	43098	46665
h-	l	46666	47824
h-	I	47825	49389
h-	O	49390	51078
h-	O~	51079	53217
h-	U_^O	53218	56662
-----------------------------
j	(J)	0	2091
j	I	2092	3765
j	I~	3766	6220
j	E~	6221	9183
j	U	9184	10708
j	g	10709	12401
j	k	12402	13450
j	m	13451	14386
j	ts	14387	16195
j	t(S)	16196	17475
j	s	17476	19058
j	a	19059	21217
j	E	21218	22920
j	O	22921	25129
j	a~	25130	27898
j	U~	27899	31662
j	O~	31663	34821
-----------------------------
k	v	0	1420
k	O	1421	3110
k	s	3111	4470
k	(S)	4471	6474
k	a	6475	8742
k	E	8743	10493
k	I_^E	10494	13216
k	_	13217	15135
k	I_^a	15136	17772
k	t	17773	19309
k	p	19310	20706
k	n	20707	22146
k	(J)	22147	24125
k	l	24126	25614
k	E~	25615	29965
k	U_^	29966	31363
k	f	31364	33373
k	U_^O	33374	36631
k	U~	36632	39044
k	x	39045	41035
k	c	41036	42872
k	g	42873	45144
k	r=	45145	46861
k	ts	46862	48458
k	a~	48459	51504
k	O~	51505	53835
k	r=~	53836	56596
k	l=	56597	58853
k	I~	58854	62833
k	m	62834	64683
k	r	64684	65903
k	(L)	65904	67361
k	l=~	67362	70355
k	U	70356	71658
k	d(Z)	71659	73386
k	I	73387	75711
k	t(S)	75712	77208
-----------------------------
l	(S)	0	2247
l	g	2248	3917
l	U	3918	5431
l	v	5432	6631
l	E~	6632	8929
l	m	8930	10230
l	_	10231	11714
l	O~	11715	13624
l	(J)	13625	15300
l	dz	15301	17534
l	f	17535	18953
l	E	18954	20485
l	I_^a	20486	23029
l	b	23030	24789
l	J-	24790	26343
l	U~	26344	29432
l	t	29433	32082
l	t(S)	32083	33737
l	O	33738	35362
l	d	35363	37562
l	x	37563	39747
l	n	39748	40931
l	I~	40932	43617
l	U_^O	43618	46822
l	c	46823	49163
l	ts	49164	51381
l	(Z)	51382	53550
l	I	53551	54675
l	a	54676	56537
l	k	56538	58776
l	a~	58777	60871
l	s	60872	63131
l	p	63132	64744
l	h-	64745	66102
-----------------------------
l=	n	0	3091
l=	dz	3092	5081
l=	x	5082	6378
l=	b	6379	8649
l=	(J)	8650	10977
l=	k	10978	13539
l=	(N)	13540	15753
l=	t(S)	15754	17516
l=	c	17517	19447
l=	(Z)	19448	21349
l=	m	21350	22897
l=	z	22898	25052
l=	h-	25053	26460
l=	d	26461	28439
l=	(S)	28440	30261
l=	p	30262	32157
l=	s	32158	34332
l=	ts	34333	36242
l=	_	36243	38485
l=	G	38486	40313
l=	J-	40314	42217
l=	t	42218	43960
-----------------------------
l=~	ts	0	4011
l=~	z	4012	8565
l=~	(S)	8566	11996
l=~	p	11997	15241
l=~	b	15242	17890
l=~	t(S)	17891	21408
l=~	(Z)	21409	24586
l=~	k	24587	28917
l=~	h-	28918	31476
l=~	n	31477	36227
l=~	t	36228	38917
-----------------------------
m	I~	0	2629
